Number,3FG-M,FTA,MIN,GP,Name,FGM,MIN/G,FT%,FTM,FGA,3FG-A,FG%,3FG%,GS,TO,PTS/G,A/TO,STL,BLKS,REB/G,PF,DREB,TF,PTS,DQ,REB,OREB,AST
 0,10,75,684,25,Ryan Haywood,93,27.4,61.3,46,222,54,41.9,18.5,24,44,9.7,1.8,35,7,4.0,47,84,1,242,0,99,15,79
 1,18,28,339,25,Andrew Williams,40,13.6,78.6,22,89,46,44.9,39.1,3,23,4.8,1.1,4,0,1.1,31,19,1,120,0,27,8,26
 2,34,29,665,23,Aaron Laflin,71,28.9,65.5,19,172,97,41.3,35.1,21,22,8.5,0.9,13,17,7.1,53,132,0,195,2,164,32,20
 3,0,0,9,1,Derek E'denchukwu,0,9.0,0.0,0,4,1,0.0,0.0,0,1,0.0,0.0,0,0,5.0,3,4,0,0,0,5,1,0
 4,34,40,419,26,Matt Laflin,48,16.1,72.5,29,121,93,39.7,36.6,4,15,6.1,0.6,9,8,3.1,26,59,0,159,0,81,22,9
 5,14,54,480,25,Raphael Durr,84,19.2,64.8,35,187,42,44.9,33.3,6,35,8.7,1.2,41,9,2.5,71,51,0,217,1,62,11,43
10,0,0,26,5,Angel Serena,0,5.2,0.0,0,2,2,0.0,0.0,1,4,0.0,1.0,3,1,0.8,3,4,0,0,0,4,0,4
11,59,28,475,26,Mason Westlake,69,18.3,75.0,21,221,183,31.2,32.2,6,24,8.4,1.2,18,2,1.5,27,32,0,218,0,38,6,29
14,13,15,176,18,Seth Cobb,22,9.8,86.7,13,66,36,33.3,36.1,2,11,3.9,0.7,3,0,1.6,21,21,1,70,0,28,7,8
15,6,8,105,13,Branson Garcia,11,8.1,37.5,3,22,15,50.0,40.0,2,3,2.4,2.0,3,0,0.6,8,5,0,31,0,8,3,6
20,17,27,288,20,Jonah Cottrell,47,14.4,74.1,20,96,50,49.0,34.0,15,8,6.6,2.0,20,3,1.1,14,19,0,131,0,21,2,16
21,7,8,109,11,Kyle Daugherty,17,9.9,75.0,6,43,20,39.5,35.0,1,14,4.3,0.3,2,1,1.1,10,10,0,47,0,12,2,4
24,0,18,199,20,Kingsley Oboralt,14,10.0,66.7,12,33,0,42.4,0.0,1,12,2.0,0.3,9,9,2.2,39,24,0,40,0,44,20,3
30,0,46,448,24,Ronnie Kozak,42,18.7,52.2,24,100,0,42.0,0.0,22,38,4.5,0.3,6,9,3.7,63,66,1,108,2,89,23,12
34,0,9,169,21,Alfred Batmani,13,8.0,33.3,3,33,0,39.4,0.0,2,8,1.4,0.3,1,4,1.9,26,21,0,29,0,40,19,2
35,11,45,586,25,Cole Taira,57,23.4,68.9,31,150,34,38.0,32.4,20,33,6.2,2.1,25,2,2.8,30,58,1,156,1,71,13,69
