Number,3FG-M,FTA,MIN,GP,Name,FGM,MIN/G,FT%,FTM,FGA,3FG-A,FG%,3FG%,GS,TO,PTS/G,A/TO,STL,BLKS,REB/G,PF,DREB,TF,PTS,DQ,REB,OREB,AST
 1,6,18,325,19,Mitchell Flores,19,17.1,55.6,10,79,33,24.1,18.2,2,19,2.8,1.3,22,1,1.8,22,20,0,54,0,34,14,25
 3,0,8,94,19,Zach Lau,4,4.9,37.5,3,23,2,17.4,0.0,1,14,0.6,0.4,3,1,0.6,7,5,0,11,0,12,7,5
 4,1,19,200,20,Martin Harris,21,10.0,68.4,13,57,9,36.8,11.1,1,10,2.8,1.0,8,0,1.1,24,9,0,56,0,21,12,10
 5,17,26,437,19,Daniel Castillo,42,23.0,57.7,15,120,59,35.0,28.8,16,20,6.1,1.9,8,1,2.6,22,37,0,116,0,49,12,37
01,0,0,58,3,Mitchell FLORES,2,19.3,0.0,0,9,3,22.2,0.0,0,3,1.3,0.7,1,0,0.3,3,1,0,4,0,1,0,2
10,0,0,0,2,Jamaal Wilson,0,0.0,0.0,0,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
13,2,80,437,22,George Idehen,46,19.9,42.5,34,131,12,35.1,16.7,2,48,5.8,0.7,22,8,7.2,74,106,0,128,6,159,53,33
15,31,150,685,22,Aki Chambers,153,31.1,68.7,103,356,97,43.0,32.0,20,50,20.0,0.3,47,2,8.2,57,97,0,440,0,180,83,16
21,30,30,302,22,Anthony Shephard,51,13.7,70.0,21,154,112,33.1,26.8,4,30,7.0,0.4,11,0,1.8,29,29,0,153,0,40,11,11
23,0,37,335,22,Ahmed Elhendy,22,15.2,40.5,15,55,1,40.0,0.0,17,25,2.7,0.2,6,1,3.7,62,53,1,59,3,82,29,4
24,5,28,507,22,Michael Yonemoto,41,23.0,78.6,22,109,29,37.6,17.2,21,65,5.0,0.8,25,0,2.5,55,41,0,109,1,56,15,55
25,11,30,218,21,Griffin Alexander,30,10.4,83.3,25,102,53,29.4,20.8,3,27,4.6,0.2,6,0,0.9,25,13,0,96,0,19,6,5
31,2,8,168,21,Kevin Ellsworth,13,8.0,37.5,3,34,12,38.2,16.7,1,18,1.5,0.2,6,0,1.3,31,11,0,31,2,28,17,4
34,0,7,65,5,Garrett Hill,7,13.0,71.4,5,21,0,33.3,0.0,1,5,3.8,0.2,3,3,2.4,5,5,0,19,0,12,7,1
41,15,62,495,22,Javon Barrino,60,22.5,61.3,38,168,49,35.7,30.6,18,50,7.9,0.2,16,3,3.0,73,35,0,173,3,67,32,10
