Number,3FG-M,FTA,MIN,GP,Name,FGM,MIN/G,FT%,FTM,FGA,3FG-A,FG%,3FG%,GS,TO,PTS/G,A/TO,STL,BLKS,REB/G,PF,DREB,TF,PTS,DQ,REB,OREB,AST
 0,28,46,788,26,Ryan Haywood,93,30.3,65.2,30,228,87,40.8,32.2,21,42,9.4,1.5,38,5,3.4,52,73,0,244,2,89,16,63
 1,10,28,244,10,Andrew Williams,39,24.4,64.3,18,77,29,50.6,34.5,7,11,10.6,1.3,10,0,2.1,28,17,0,106,1,21,4,14
 2,20,48,583,20,Aaron Laflin,65,29.2,68.8,33,174,70,37.4,28.6,18,42,9.2,0.5,15,14,6.4,60,97,0,183,4,128,31,23
 3,0,0,16,6,Isaiah Knott,0,2.7,0.0,0,4,1,0.0,0.0,0,1,0.0,1.0,0,0,0.2,1,1,0,0,0,1,0,1
 4,51,46,702,24,Matt Laflin,98,29.3,78.3,36,233,136,42.1,37.5,20,53,11.8,0.7,25,12,5.6,65,96,1,283,3,134,38,38
 5,25,14,376,22,Joshua Kimble,46,17.1,64.3,9,117,67,39.3,37.3,2,15,5.7,1.2,10,0,1.5,20,24,0,126,0,34,10,18
10,13,26,267,12,Sean Rodriguez,39,22.3,84.6,22,93,34,41.9,38.2,4,27,9.4,0.7,7,0,1.7,22,19,0,113,0,20,1,20
11,0,0,11,6,Camdenn Young-Harry,0,1.8,0.0,0,2,0,0.0,0.0,0,1,0.0,1.0,0,0,0.7,1,4,0,0,0,4,0,1
15,23,11,482,26,Branson Garcia,50,18.5,54.5,6,131,73,38.2,31.5,9,18,5.0,0.9,11,1,1.0,28,9,0,129,0,26,17,17
22,0,2,86,18,Frederick Steen,3,4.8,0.0,0,7,1,42.9,0.0,0,6,0.3,0.2,2,1,0.4,7,7,2,6,0,7,0,1
23,0,32,272,18,Derek E'denchukwu,36,15.1,68.8,22,75,1,48.0,0.0,4,37,5.2,0.4,5,9,4.3,32,57,0,94,0,78,21,16
30,0,74,614,26,Ronnie Kozak,69,23.6,55.4,41,142,1,48.6,0.0,21,39,6.9,0.5,10,19,5.6,78,111,1,179,3,146,35,21
35,42,90,860,26,Cole Taira,101,33.1,83.3,75,258,125,39.1,33.6,24,65,12.3,1.5,33,3,3.3,57,71,0,319,2,86,15,97
