Number,3FG-M,FTA,MIN,GP,Name,FGM,MIN/G,FT%,FTM,FGA,3FG-A,FG%,3FG%,GS,TO,PTS/G,A/TO,STL,BLKS,REB/G,PF,DREB,TF,PTS,DQ,REB,OREB,AST
 0,21,71,890,28,Ryan Haywood,107,31.8,76.1,54,264,75,40.5,28.0,26,60,10.3,2.2,33,5,5.3,63,142,0,289,1,147,5,129
 1,20,43,407,26,Andrew Williams,49,15.7,72.1,31,117,61,41.9,32.8,4,12,5.7,2.0,7,2,1.5,42,25,1,149,2,38,13,24
 2,1,6,40,11,Maceo Reddick,3,3.6,33.3,2,12,6,25.0,16.7,0,3,0.8,0.0,2,1,1.1,6,6,0,9,0,12,6,0
 3,4,75,655,28,Chiwike E'denchukwu,93,23.4,64.0,48,205,17,45.4,23.5,25,61,8.5,0.6,17,3,4.5,48,95,1,238,0,125,30,35
 4,0,59,689,28,Kingsley Obiorah,69,24.6,59.3,35,140,0,49.3,0.0,24,53,6.2,0.4,11,45,7.0,78,131,1,173,3,197,66,21
 5,15,37,583,24,Raphael Durr,81,24.3,73.0,27,195,56,41.5,26.8,21,42,8.5,1.1,44,9,2.3,62,46,0,204,3,55,9,46
10,1,2,56,12,Angel Serena,2,4.7,0.0,0,8,6,25.0,16.7,0,3,0.4,0.7,1,0,0.2,8,2,0,5,0,2,0,2
11,68,12,595,26,Mason Westlake,85,22.9,75.0,9,222,184,38.3,37.0,9,27,9.5,0.9,20,3,1.2,45,24,0,247,0,30,6,25
12,8,3,200,18,Justin Nguyen,18,11.1,66.7,2,39,18,46.2,44.4,2,7,2.6,1.4,7,0,0.6,16,8,0,46,0,11,3,10
14,34,15,331,23,Seth Cobb,46,14.4,66.7,10,112,84,41.1,40.5,1,13,5.9,1.3,9,4,2.2,31,47,1,136,0,51,4,17
15,0,0,11,4,Owen Fromm,0,2.8,0.0,0,1,0,0.0,0.0,0,1,0.0,0.0,0,1,0.3,3,1,0,0,0,1,0,0
20,59,57,734,28,Jonah Cottrell,117,26.2,86.0,49,207,118,56.5,50.0,22,24,12.2,1.3,33,2,2.2,31,54,0,342,0,61,7,32
23,2,18,165,23,Mason Johnson,18,7.2,77.8,14,35,7,51.4,28.6,2,13,2.3,0.6,3,4,1.7,17,25,0,52,0,40,15,8
34,0,3,179,23,Alfred Batmani,20,7.8,0.0,0,30,0,66.7,0.0,4,10,1.7,0.3,3,0,1.3,25,21,0,40,0,30,9,3
35,1,3,43,4,Cole Taira,6,10.8,100.0,3,17,5,35.3,20.0,0,4,4.0,2.5,1,0,2.0,5,8,0,16,0,8,0,10
