Number,3FG-M,FTA,MIN,GP,Name,FGM,MIN/G,FT%,FTM,FGA,3FG-A,FG%,3FG%,GS,TO,PTS/G,A/TO,STL,BLKS,REB/G,PF,DREB,TF,PTS,DQ,REB,OREB,AST
 1,14,23,722,29,Mitch Flores,31,24.9,78.3,18,144,72,21.5,19.4,19,30,3.2,1.5,26,3,1.7,43,34,0,94,1,49,15,45
 2,20,76,705,29,Kevin Ellsworth,74,24.3,75.0,57,205,64,36.1,31.3,20,60,7.8,0.7,15,9,4.0,85,88,0,225,2,115,27,42
 3,14,51,665,29,Christian Chapman,66,22.9,92.2,47,249,83,26.5,16.9,18,99,6.7,0.9,27,2,1.8,66,36,0,193,4,51,15,85
 5,33,64,715,28,Joshua Kimble,146,25.5,85.9,55,391,126,37.3,26.2,18,33,13.6,0.9,31,1,3.0,31,50,0,380,0,85,35,31
10,4,15,133,6,Reggie Nelson,14,22.2,60.0,9,34,9,41.2,44.4,5,14,6.8,0.7,9,0,3.7,14,15,0,41,1,22,7,10
11,4,15,145,17,Yosief Ghebresilasie,12,8.5,60.0,9,52,22,23.1,18.2,0,9,2.2,1.0,5,0,1.1,20,13,0,37,0,19,6,9
12,2,8,135,22,Jason Tabor,8,6.1,50.0,4,32,10,25.0,20.0,0,21,1.0,0.6,1,0,0.4,10,7,0,22,0,9,2,12
13,0,2,23,6,Dusty Nunes,0,3.8,50.0,1,4,3,0.0,0.0,0,3,0.2,0.0,0,0,0.2,1,1,0,1,0,1,0,0
14,0,28,609,27,George Olumba,91,22.6,57.1,16,189,2,48.1,0.0,15,16,7.3,1.9,18,9,5.6,51,90,0,198,1,152,62,31
20,39,28,425,28,Michael Pierick,65,15.2,92.9,26,191,120,34.0,32.5,5,39,7.0,0.7,26,3,2.4,56,45,3,195,1,66,21,28
21,0,1,14,6,Jared Bliss,0,2.3,0.0,0,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0.2,2,1,0,0,0,1,0,0
22,1,121,567,21,Ryan Edwards,77,27.0,62.0,75,209,5,36.8,20.0,19,56,11.0,0.3,14,16,6.0,50,84,1,230,3,126,42,15
23,9,70,399,29,Kenny Veliz,33,13.8,81.4,57,76,20,43.4,45.0,7,37,4.6,0.9,25,1,1.6,33,32,0,132,0,47,15,35
24,0,66,397,22,Daniel Pugh,70,18.0,78.8,52,142,0,49.3,0.0,3,39,8.7,0.4,29,3,5.4,53,76,0,192,3,119,43,16
32,3,11,133,24,James Reed,20,5.5,72.7,8,46,10,43.5,30.0,1,7,2.1,0.6,5,0,0.9,14,11,0,51,0,21,10,4
