Number,3FG-M,FTA,MIN,GP,Name,FGM,MIN/G,FT%,FTM,FGA,3FG-A,FG%,3FG%,GS,TO,PTS/G,A/TO,STL,BLKS,REB/G,PF,DREB,TF,PTS,DQ,REB,OREB,AST
 0,16,59,829,28,Ryan Haywood,95,29.6,72.9,43,238,53,39.9,30.2,24,69,8.9,1.0,45,17,3.7,46,79,0,249,0,103,24,70
 1,29,39,599,27,Andrew Williams,73,22.2,74.4,29,160,78,45.6,37.2,18,41,7.6,0.6,16,0,1.9,48,40,1,204,3,52,12,26
 2,21,30,631,27,Aaron Laflin,72,23.4,63.3,19,182,88,39.6,23.9,18,42,6.8,0.5,13,17,5.3,65,120,0,184,2,144,24,19
 3,3,74,586,28,Derek E'denchukwu,112,20.9,64.9,48,182,8,61.5,37.5,9,68,9.8,0.4,21,18,6.4,66,142,0,275,2,179,37,25
 4,31,32,444,27,Matt Laflin,44,16.4,71.9,23,142,99,31.0,31.3,5,29,5.3,0.5,12,8,2.9,53,59,0,142,3,77,18,15
10,18,24,429,26,Jonah Cottrell,43,16.5,75.0,18,112,60,38.4,30.0,5,20,4.7,1.6,16,4,1.1,31,21,0,122,0,28,7,32
11,0,16,110,10,Michael Woods,8,11.0,50.0,8,40,6,20.0,0.0,1,21,2.4,0.4,1,2,2.2,13,14,0,24,0,22,8,8
12,0,8,19,5,Robert Benson,3,3.8,37.5,3,5,0,60.0,0.0,0,1,1.8,0.0,0,0,1.0,2,2,0,9,0,5,3,0
15,17,11,447,28,Branson Garcia,46,16.0,72.7,8,107,58,43.0,29.3,2,16,4.2,0.7,7,4,1.0,25,9,0,117,0,28,19,11
22,2,0,33,6,Malcolm Gordon,5,5.5,0.0,0,11,6,45.5,33.3,0,4,2.0,0.5,0,0,1.0,6,3,0,12,0,6,3,2
24,0,0,14,7,Frederick Steen,0,2.0,0.0,0,4,1,0.0,0.0,1,2,0.0,0.0,0,0,0.0,2,0,0,0,0,0,0,0
30,0,48,573,28,Ronnie Kozak,57,20.5,64.6,31,146,0,39.0,0.0,25,56,5.2,0.4,15,21,4.5,66,99,1,145,2,125,26,20
31,1,6,9,3,Myles Jones,1,3.0,33.3,2,4,4,25.0,25.0,0,1,1.7,0.0,0,0,0.0,3,0,0,5,0,0,0,0
34,0,1,42,12,Alfred Batmani,3,3.5,0.0,0,8,0,37.5,0.0,0,4,0.5,0.0,1,0,0.7,4,6,0,6,0,8,2,0
35,38,94,909,28,Cole Taira,106,32.5,81.9,77,239,101,44.4,37.6,27,63,11.7,1.6,37,3,3.9,49,97,0,327,0,110,13,100
