Number,3FG-M,FTA,MIN,GP,Name,FGM,MIN/G,FT%,FTM,FGA,3FG-A,FG%,3FG%,GS,TO,PTS/G,A/TO,STL,BLKS,REB/G,PF,DREB,TF,PTS,DQ,REB,OREB,AST
 0,0,0,0,0,Cydney Caradonna,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
 2,7,112,956,30,Deja Jackson,98,31.9,64.3,72,249,21,39.4,33.3,22,106,9.2,0.9,61,1,5.0,60,95,0,275,1,149,54,100
 3,0,20,199,26,Kara Kutsuris,16,7.7,60.0,12,46,0,34.8,0.0,3,14,1.7,0.2,4,1,1.9,29,24,0,44,0,50,26,3
 4,0,90,674,29,Mia Shannon,120,23.2,76.7,69,253,2,47.4,0.0,29,61,10.7,0.3,17,44,7.0,93,125,0,309,4,203,78,21
 5,13,0,85,15,Shelby Bohlmann,14,5.7,0.0,0,29,25,48.3,52.0,0,5,2.7,1.2,2,1,0.4,7,2,0,41,0,6,4,6
10,57,124,966,30,Christina Castro,122,32.2,72.6,90,349,187,35.0,30.5,30,75,13.0,1.6,68,0,4.3,61,99,0,391,2,129,30,118
12,5,42,254,12,Zakiya Williams,27,21.2,78.6,33,67,15,40.3,33.3,3,37,7.7,0.7,24,1,1.7,26,10,0,92,2,20,10,25
14,1,2,33,3,Allison Wisdom,3,11.0,100.0,2,10,2,30.0,50.0,0,4,3.0,1.3,4,2,1.3,3,2,0,9,0,4,2,5
20,46,18,469,25,Aubrey Hayes,64,18.8,72.2,13,190,142,33.7,32.4,18,21,7.5,1.0,10,2,2.0,35,37,0,187,0,51,14,20
21,5,2,75,14,Ivy Nguyen,7,5.4,100.0,2,20,16,35.0,31.3,0,3,1.5,0.7,1,0,0.4,6,5,0,21,0,6,1,2
23,58,143,907,30,Mia Belvin,175,30.2,79.7,114,427,151,41.0,38.4,30,65,17.4,1.3,87,7,5.3,45,92,0,522,0,159,67,82
30,0,8,158,10,Maya Lawrence,17,15.8,62.5,5,38,0,44.7,0.0,0,16,3.9,0.3,7,2,5.1,17,29,0,39,0,51,22,4
33,29,44,701,29,Kylee Scheib,63,24.2,63.6,28,202,115,31.2,25.2,14,56,6.3,0.9,49,6,5.4,76,96,0,183,2,158,62,48
35,0,14,204,25,Kimiko Sato,27,8.2,57.1,8,57,0,47.4,0.0,1,10,2.5,0.2,5,6,2.0,19,33,0,62,0,51,18,2
44,3,18,321,29,Alyssa Ono,18,11.1,55.6,10,75,27,24.0,11.1,0,18,1.7,0.8,11,1,1.5,24,26,0,49,0,44,18,15
