Number,3FG-M,FTA,MIN,GP,Name,FGM,MIN/G,FT%,FTM,FGA,3FG-A,FG%,3FG%,GS,TO,PTS/G,A/TO,STL,BLKS,REB/G,PF,DREB,TF,PTS,DQ,REB,OREB,AST
 2,0,26,232,23,Deja Jackson,11,10.1,53.8,14,46,6,23.9,0.0,1,27,1.6,0.8,8,0,1.0,21,17,0,36,0,22,5,22
 3,0,33,564,25,Kayla Polman,17,22.6,57.6,19,57,2,29.8,0.0,21,37,2.1,0.9,27,2,3.5,81,53,0,53,7,88,35,32
 4,0,29,317,18,Mia Shannon,56,17.6,58.6,17,136,1,41.2,0.0,10,20,7.2,0.3,7,21,6.3,43,58,0,129,2,114,56,6
 5,61,70,795,26,Shelby Howard,130,30.6,75.7,53,375,198,34.7,30.8,25,54,14.4,0.9,41,3,1.4,36,20,0,374,1,36,16,49
10,20,41,385,19,Christina Castro,45,20.3,70.7,29,138,69,32.6,29.0,2,27,7.3,1.3,21,1,2.6,16,35,0,139,0,50,15,36
11,37,80,803,26,Courtney Danna,114,30.9,76.3,61,257,91,44.4,40.7,24,93,12.5,1.0,60,1,4.5,61,94,0,326,1,118,24,89
12,0,42,585,25,Brittany Martinez,75,23.4,52.4,22,193,0,38.9,0.0,19,44,6.9,0.2,10,34,5.8,68,105,0,172,2,146,41,8
14,10,43,331,19,Allison Wisdom,43,17.4,79.1,34,113,38,38.1,26.3,2,40,6.8,0.5,19,1,2.5,15,30,0,130,0,48,18,19
20,14,6,178,14,Aubrey Hayes,22,12.7,83.3,5,57,34,38.6,41.2,0,18,4.5,0.4,1,1,1.4,17,14,0,63,0,19,5,8
21,11,20,219,20,Samantha Oshiro,15,11.0,65.0,13,52,33,28.8,33.3,6,16,2.7,0.5,12,1,1.7,26,23,0,54,1,34,11,8
33,2,64,646,26,Jecenia Trinidad,88,24.8,56.3,36,197,5,44.7,40.0,20,60,8.2,1.0,73,15,5.8,85,102,0,214,2,150,48,59
35,1,10,172,20,Kimi Sato,12,8.6,60.0,6,35,2,34.3,50.0,0,7,1.6,0.6,7,0,1.6,19,17,0,31,1,31,14,4
