Number,3FG-M,FTA,MIN,GP,Name,FGM,MIN/G,FT%,FTM,FGA,3FG-A,FG%,3FG%,GS,TO,PTS/G,A/TO,STL,BLKS,REB/G,PF,DREB,TF,PTS,DQ,REB,OREB,AST
 0,41,78,663,26,Christina Castro,88,25.5,71.8,56,272,119,32.4,34.5,19,64,10.5,1.0,50,2,2.5,49,49,0,273,0,64,15,64
 1,0,7,53,7,Leticia Oceguera,2,7.6,71.4,5,9,4,22.2,0.0,2,0,1.3,0.0,3,0,1.0,4,5,0,9,0,7,2,7
 3,0,13,394,26,Kayla Polman,12,15.2,23.1,3,35,1,34.3,0.0,15,34,1.0,0.6,18,5,3.0,58,54,0,27,1,77,23,20
 4,15,39,734,26,Alexis Wu,69,28.2,64.1,25,168,58,41.1,25.9,25,52,6.8,1.4,46,5,4.2,43,88,0,178,0,110,22,75
 5,62,45,579,26,Shelby Howard,97,22.3,71.1,32,294,194,33.0,32.0,16,37,11.1,1.0,29,2,1.9,32,37,0,288,1,50,13,37
10,0,25,328,24,Danielle Ward,29,13.7,68.0,17,54,0,53.7,0.0,0,15,3.1,0.2,10,3,3.5,26,56,0,75,0,85,29,3
11,25,72,609,23,Courtney Danna,67,26.5,72.2,52,196,86,34.2,29.1,13,65,9.2,0.9,33,0,4.3,46,62,0,211,0,99,37,58
12,0,40,618,26,Brittany Martinez,82,23.8,72.5,29,164,2,50.0,0.0,25,43,7.4,0.1,11,27,7.5,60,135,0,193,1,196,61,5
14,21,30,375,24,Allison Wisdom,51,15.6,60.0,18,160,65,31.9,32.3,1,38,5.9,0.4,24,3,1.9,17,38,0,141,0,45,7,15
20,0,0,114,13,Adrienne Carmona,10,8.8,0.0,0,21,0,47.6,0.0,1,9,1.5,0.0,2,4,1.3,20,15,0,20,1,17,2,0
21,2,4,37,9,Samantha Oshiro,4,4.1,75.0,3,16,10,25.0,20.0,0,6,1.4,0.2,1,1,0.6,4,3,0,13,0,5,2,1
22,5,10,298,25,Maya Campo,14,11.9,50.0,5,65,36,21.5,13.9,2,16,1.5,2.1,20,1,1.3,18,25,0,38,0,33,8,33
32,0,0,17,5,Cassandra Friedrich,0,3.4,0.0,0,8,2,0.0,0.0,0,2,0.0,0.0,1,0,0.4,0,1,0,0,0,2,1,0
33,0,19,364,26,Jecenia Trinidad,36,14.0,73.7,14,102,1,35.3,0.0,11,32,3.3,0.8,27,5,2.8,77,45,0,86,3,72,27,26
