Number,3FG-M,FTA,MIN,GP,Name,FGM,MIN/G,FT%,FTM,FGA,3FG-A,FG%,3FG%,GS,TO,PTS/G,A/TO,STL,BLKS,REB/G,PF,DREB,TF,PTS,DQ,REB,OREB,AST
 0,4,13,193,25,Tiffany Nguyen,10,7.7,69.2,9,39,26,25.6,15.4,1,16,1.3,0.8,0,0,0.4,7,8,0,33,0,11,3,13
 2,53,74,880,27,Haylee Owen,157,32.6,79.7,59,371,156,42.3,34.0,25,99,15.8,1.0,55,1,3.6,41,68,0,426,0,96,28,95
 4,0,16,169,14,Soana Afu,11,12.1,68.8,11,46,3,23.9,0.0,10,11,2.4,0.2,4,3,2.8,24,26,0,33,1,39,13,2
 5,5,0,106,7,Shelby Bohlmann,5,15.1,0.0,0,28,22,17.9,22.7,7,4,2.1,0.5,6,0,1.0,8,5,0,15,0,7,2,2
10,0,4,46,8,Victoria Farris,2,5.8,100.0,4,15,5,13.3,0.0,0,8,1.0,0.3,3,0,0.4,5,2,0,8,0,3,1,2
11,19,21,469,27,Cierra McClain,37,17.4,52.4,11,147,86,25.2,22.1,6,54,3.9,0.7,24,0,1.8,26,33,0,104,0,48,15,39
12,1,15,72,12,Madelynn Reed,3,6.0,53.3,8,13,4,23.1,25.0,0,4,1.3,0.3,2,0,1.6,16,12,0,15,0,19,7,1
14,0,0,16,5,Kylee Scheib,1,3.2,0.0,0,3,2,33.3,0.0,1,1,0.4,0.0,0,0,0.4,4,2,0,2,0,2,0,0
15,0,26,274,27,Nia Smiley,24,10.1,57.7,15,60,0,40.0,0.0,3,39,2.3,0.2,10,1,1.7,29,25,0,63,1,45,20,7
22,0,23,464,27,Marisse Jackson,44,17.2,26.1,6,131,1,33.6,0.0,16,32,3.5,0.4,21,9,6.2,70,78,0,94,3,168,90,13
23,51,115,918,28,Mia Belvin,181,32.8,78.3,90,423,154,42.8,33.1,27,69,18.0,0.6,96,10,3.6,44,58,0,503,1,102,44,41
24,1,82,798,28,Rainah Smith,75,28.5,67.1,55,201,14,37.3,7.1,28,41,7.4,1.0,36,10,7.1,46,109,0,206,1,199,90,39
30,0,12,177,20,Andrea Rogers,21,8.9,58.3,7,51,0,41.2,0.0,0,21,2.5,0.2,10,8,3.0,41,34,0,49,2,59,25,5
32,4,65,670,28,Deyliana Lewis,61,23.9,49.2,32,136,24,44.9,16.7,16,68,5.6,0.7,20,32,5.1,84,94,1,158,1,143,49,46
44,15,27,323,28,Gabriella Edmond,28,11.5,59.3,16,114,57,24.6,26.3,0,16,3.1,0.9,9,6,1.9,22,34,0,87,0,52,18,15
