Number,3FG-M,FTA,MIN,GP,Name,FGM,MIN/G,FT%,FTM,FGA,3FG-A,FG%,3FG%,GS,TO,PTS/G,A/TO,STL,BLKS,REB/G,PF,DREB,TF,PTS,DQ,REB,OREB,AST
 1,10,55,403,15,Leticia Oceguera,36,26.9,61.8,34,101,32,35.6,31.3,15,37,7.7,1.3,27,1,3.1,44,27,3,116,1,47,20,47
 3,2,35,436,23,Kayla Polman,15,19.0,51.4,18,63,4,23.8,50.0,9,31,2.2,0.7,16,0,4.1,54,63,0,50,2,95,32,21
 4,30,51,791,23,Alexis Wu,84,34.4,70.6,36,233,83,36.1,36.1,23,61,10.2,1.4,53,4,4.7,45,80,0,234,0,108,28,87
 5,81,72,709,23,Shelby Howard,138,30.8,84.7,61,375,196,36.8,41.3,21,65,18.2,0.5,41,2,2.3,42,34,0,418,0,52,18,35
10,0,31,369,23,Danielle Ward,29,16.0,61.3,19,79,0,36.7,0.0,13,27,3.3,0.4,8,4,3.5,39,53,0,77,0,81,28,12
11,17,34,239,8,Courtney Danna,38,29.9,70.6,24,94,46,40.4,37.0,2,28,14.6,0.7,13,1,4.5,18,24,0,117,1,36,12,19
12,0,18,88,8,Brittany Martinez,6,11.0,66.7,12,18,0,33.3,0.0,2,9,3.0,0.2,3,0,2.8,12,17,0,24,0,22,5,2
15,5,13,198,23,Rebecca Schonauer,21,8.6,76.9,10,74,14,28.4,35.7,1,13,2.5,0.5,3,7,1.6,25,30,0,57,0,37,7,7
20,0,30,468,23,Adrienne Carmona,31,20.3,63.3,19,108,0,28.7,0.0,17,37,3.5,0.4,12,16,4.8,64,71,0,81,5,110,39,15
21,21,22,336,22,Samantha Oshiro,33,15.3,63.6,14,128,79,25.8,26.6,4,21,4.6,0.7,20,1,1.8,41,33,1,101,0,40,7,14
22,23,31,394,23,Maya Campo,37,17.1,80.6,25,124,79,29.8,29.1,4,33,5.3,1.3,28,1,1.3,38,22,0,122,1,30,8,42
24,0,20,214,22,Kaitlin Gundlach,13,9.7,55.0,11,28,0,46.4,0.0,4,14,1.7,0.4,11,2,1.8,24,26,0,37,0,40,14,5
33,0,0,5,2,Sabrina Wiseman,0,2.5,0.0,0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,1,0,0,0,0,0,0,0
