Number,3FG-M,FTA,MIN,GP,Name,FGM,MIN/G,FT%,FTM,FGA,3FG-A,FG%,3FG%,GS,TO,PTS/G,A/TO,STL,BLKS,REB/G,PF,DREB,TF,PTS,DQ,REB,OREB,AST
 0,0,6,78,11,Cydney Caradonna,12,7.1,100.0,6,25,0,48.0,0.0,0,15,2.7,0.5,5,0,1.1,6,9,0,30,0,12,3,7
 1,1,9,142,22,Kylee Scheib,7,6.5,55.6,5,20,9,35.0,11.1,0,18,0.9,0.4,11,0,0.8,20,10,0,20,0,17,7,7
 2,8,43,374,26,Deja Jackson,49,14.4,69.8,30,124,20,39.5,40.0,0,43,5.2,0.6,11,0,1.9,31,31,0,136,0,49,18,25
 3,0,12,120,21,Kara Kutsuris,10,5.7,66.7,8,21,0,47.6,0.0,1,7,1.3,0.3,0,2,1.1,24,10,0,28,0,24,14,2
 4,0,44,298,23,Mia Shannon,49,13.0,77.3,34,119,1,41.2,0.0,1,27,5.7,0.3,11,15,3.9,60,61,1,132,2,89,28,8
 5,10,4,149,20,Shelby Bohlmann,19,7.5,25.0,1,35,20,54.3,50.0,0,10,2.5,1.4,7,1,0.7,17,8,0,49,0,14,6,14
10,41,119,776,27,Christina Castro,88,28.7,65.5,78,273,144,32.2,28.5,18,72,10.9,1.6,54,5,3.4,56,68,0,295,1,91,23,113
11,33,80,789,26,Courtney Danna,96,30.3,73.8,59,251,87,38.2,37.9,23,91,10.9,1.4,50,0,5.1,67,101,0,284,3,133,32,123
12,0,36,717,29,Brittany Martinez,105,24.7,63.9,23,235,0,44.7,0.0,26,65,8.0,0.4,17,49,7.6,84,132,1,233,3,220,88,25
14,6,15,248,13,Allison Wisdom,22,19.1,60.0,9,81,26,27.2,23.1,2,38,4.5,0.8,11,3,2.4,17,25,0,59,0,31,6,32
20,37,23,460,26,Aubrey Hayes,63,17.7,73.9,17,169,113,37.3,32.7,15,49,6.9,0.3,10,3,2.3,37,42,0,180,0,60,18,17
21,7,8,85,20,Ivy Nguyen,13,4.3,100.0,8,38,20,34.2,35.0,0,8,2.1,0.4,3,2,0.3,15,2,0,41,0,6,4,3
22,0,41,760,29,Danielle Ward,66,26.2,46.3,19,143,0,46.2,0.0,27,35,5.2,0.5,17,20,5.7,45,123,0,151,0,164,41,19
23,32,117,782,29,Mia Belvin,110,27.0,74.4,87,267,82,41.2,39.0,27,68,11.7,0.8,82,2,4.2,46,82,0,339,0,123,41,52
35,0,5,97,18,Kimiko Sato,10,5.4,60.0,3,26,1,38.5,0.0,0,4,1.3,0.0,3,2,1.0,13,15,0,23,0,18,3,0
